Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania
2023-08-11;1;15258;32539;27754;-;1582;-;10363;9683;-;680;-;3203;478;0;0,00;1246;446;4473;-2756
2023-08-11;2;14667;32362;27754;-;1402;-;9916;9737;-;179;-;3206;522;0;0,00;976;569;4718;-2511
2023-08-11;3;14413;32452;27754;-;1414;-;8892;8892;-;0;-;3284;579;0;0,00;1647;590;5032;-1827
2023-08-11;4;14405;32418;27754;-;1350;-;8960;8709;-;251;-;3314;607;0;0,00;1548;583;5422;-1723
2023-08-11;5;14524;32404;27754;-;1338;-;9212;9137;-;75;-;3312;605;0;0,00;1447;553;5563;-1880
2023-08-11;6;14911;32373;27754;-;1271;-;10100;10025;-;75;-;3348;571;29;0,00;1064;400;5096;-2537
2023-08-11;7;16986;31982;27754;-;370;-;12210;11367;-;843;-;3858;499;523;0,00;474;445;4166;-3658
2023-08-11;8;18601;33532;27754;-;205;-;12219;11801;-;418;-;5573;407;2243;0,00;532;277;4058;-4195
2023-08-11;9;19550;35819;27754;-;494;-;11369;11369;-;0;-;7571;281;4388;367,00;742;235;4100;-3963
2023-08-11;10;19594;38330;27754;-;949;-;10423;10423;-;0;-;9627;238;6512;557,00;-108;209;4656;-3217
2023-08-11;11;19166;40233;27754;-;1621;-;9317;9317;-;0;-;10858;284;7752;1111,00;-152;254;5650;-2171
2023-08-11;12;19282;41162;27754;-;1765;-;8933;8933;-;0;-;11643;334;8491;1395,00;-192;293;6034;-1787
2023-08-11;13;19285;41312;27754;-;1785;-;8807;8807;-;0;-;11773;388;8564;1395,00;-108;208;6160;-1661
2023-08-11;14;19202;41041;27754;-;1785;-;8996;8996;-;0;-;11502;462;8179;1395,00;492;-392;6053;-1768
2023-08-11;15;19178;40218;27754;-;1785;-;9375;9375;-;0;-;10679;529;7269;975,00;-89;189;5982;-2029
2023-08-11;16;19267;39116;27754;-;1785;-;10284;10284;-;0;-;9577;564;6132;694,00;-127;227;5073;-2938
2023-08-11;17;19353;37696;27754;-;1785;-;11062;11062;-;0;-;8157;575;4633;493,00;411;217;4377;-3634
2023-08-11;18;19353;35982;27754;-;1785;-;11663;11663;-;0;-;6443;530;2941;0,00;1038;209;4157;-4035
2023-08-11;19;19277;34348;27754;-;1785;-;12504;12494;-;10;-;4809;412;1303;0,00;1755;210;3633;-4748
2023-08-11;20;19706;33257;27754;-;1785;-;13676;13646;-;30;-;3718;339;244;0,00;1765;548;2481;-5900
2023-08-11;21;20098;33021;27754;-;1785;-;14658;14031;-;627;-;3482;352;2;0,00;1307;652;2096;-6285
2023-08-11;22;19377;33037;27754;-;1785;-;13527;13527;-;0;-;3498;383;0;0,00;1818;535;2600;-5781
2023-08-11;23;17975;32866;27754;-;1785;-;12209;12209;-;0;-;3327;411;0;0,00;1845;595;2528;-5203
2023-08-11;24;16454;32864;27754;-;1785;-;11156;11156;-;0;-;3325;456;0;32,00;1399;605;3581;-4150
2023-08-12;1;15371;32855;27754;-;1623;-;9505;9370;-;135;-;3478;725;0;0,00;1614;774;4686;-2783
2023-08-12;2;14719;32973;27754;-;1633;-;8814;8814;-;0;-;3586;829;0;0,00;1490;828;5298;-2171
2023-08-12;3;14283;33134;27754;-;1642;-;8655;8655;-;0;-;3738;972;0;0,00;1034;856;5537;-1932
2023-08-12;4;14076;33240;27754;-;1651;-;8436;8436;-;0;-;3835;1067;0;0,00;912;893;5097;-2032
2023-08-12;5;13896;33284;27754;-;1661;-;8373;8311;-;62;-;3869;1133;0;0,00;745;909;5222;-1907
2023-08-12;6;13634;33382;27754;-;1670;-;8257;8046;-;211;-;3958;1183;28;0,00;583;837;5487;-1642
2023-08-12;7;14541;33835;27754;-;1601;-;8527;8071;-;456;-;4480;1178;526;0,00;713;822;5462;-1667
2023-08-12;8;15686;35331;27754;-;1141;-;8526;8126;-;400;-;6436;1216;2381;0,00;75;650;5407;-1722
2023-08-12;9;16803;37331;27754;-;1114;-;8446;8123;-;323;-;8463;858;4765;190,00;-617;701;5410;-1719
2023-08-12;10;17386;39628;27754;-;1457;-;7332;7332;-;0;-;10417;507;7092;464,00;-486;587;5951;-1028
2023-08-12;11;17305;41595;27754;-;1760;-;6172;6172;-;0;-;12081;514;8760;1050,00;-419;520;5185;-684
2023-08-12;12;17244;42747;27754;-;1785;-;6185;6185;-;0;-;13208;602;9805;1185,00;-412;513;6236;0
2023-08-12;13;17363;43171;27754;-;1785;-;6174;6174;-;0;-;13632;658;10173;1174,00;-247;347;6552;0
2023-08-12;14;17356;42962;27754;-;1785;-;6174;6174;-;0;-;13423;689;9895;1174,00;-138;238;6349;0
2023-08-12;15;17160;42245;27754;-;1785;-;6174;6174;-;0;-;12706;707;9160;1174,00;145;-74;5811;-58
2023-08-12;16;17058;40939;27754;-;1785;-;6534;6534;-;0;-;11400;717;7840;976,00;492;-393;5183;-686
2023-08-12;17;17005;39028;27754;-;1785;-;7458;7458;-;0;-;9489;717;5881;43,00;-194;293;5890;-953
2023-08-12;18;17029;36821;27754;-;1785;-;9138;9119;-;19;-;7282;732;3635;0,00;224;386;4947;-2372
2023-08-12;19;17173;34850;27754;-;1785;-;10555;10485;-;70;-;5311;860;1499;0,00;531;776;3829;-3681
2023-08-12;20;17249;34009;27754;-;1785;-;11323;10769;-;554;-;4470;1198;230;0,00;687;769;3544;-3965
2023-08-12;21;17673;34258;27754;-;1732;-;12950;11617;-;1333;-;4772;1691;2;0,00;-804;755;2696;-4813
2023-08-12;22;17440;34608;27754;-;1695;-;12330;11561;-;769;-;5159;2137;0;0,00;-841;792;2753;-4757
2023-08-12;23;16459;34706;27754;-;1704;-;10924;10924;-;0;-;5248;2392;0;0,00;-538;826;3389;-4120
2023-08-12;24;15207;34810;27754;-;1714;-;9351;9351;-;0;-;5342;2500;0;210,00;-257;980;4182;-2947
2023-08-13;1;14038;34830;27754;-;1546;-;8681;8323;-;358;-;5530;2827;0;0,00;-1113;941;4162;-2419
2023-08-13;2;13402;34723;27754;-;1551;-;8054;7696;-;358;-;5418;2717;0;0,00;-1092;1022;4789;-1792
2023-08-13;3;13049;34325;27754;-;1345;-;7760;7581;-;179;-;5226;2525;0;0,00;-986;1049;4906;-1675
2023-08-13;4;12824;33973;27754;-;1173;-;7679;7529;-;150;-;5046;2343;0;0,00;-950;1049;5096;-1485
2023-08-13;5;12537;33779;27754;-;1181;-;7595;7595;-;0;-;4844;2176;0;0,00;-950;1048;4912;-1609
2023-08-13;6;12362;33434;27754;-;977;-;7560;7381;-;179;-;4703;1997;23;0,00;-950;1048;4857;-1534
2023-08-13;7;12651;33503;27754;-;811;-;7615;7345;-;270;-;4938;1754;486;0,00;-878;977;5130;-1441
2023-08-13;8;13546;34625;27754;-;723;-;7299;7207;-;92;-;6148;1387;2001;0,00;-950;1049;4888;-1503
2023-08-13;9;14479;35929;27754;-;798;-;7193;7104;-;89;-;7377;996;3618;190,00;-934;1033;4991;-1400
2023-08-13;10;15017;37998;27754;-;1308;-;6606;6606;-;0;-;8936;817;5371;598,00;-465;537;4978;-1106
2023-08-13;11;15131;39863;27754;-;1785;-;6184;6184;-;0;-;10324;813;6780;1184,00;735;-685;5644;-440
2023-08-13;12;15059;40815;27754;-;1785;-;6184;6184;-;0;-;11276;820;7729;1184,00;1092;-1041;6668;0
2023-08-13;13;15053;41231;27754;-;1785;-;6184;6184;-;0;-;11692;808;8159;1184,00;1092;-1041;7090;0
2023-08-13;14;15185;41081;27754;-;1785;-;6184;6184;-;0;-;11542;815;7966;1184,00;1092;-1041;6807;0
2023-08-13;15;15213;40387;27754;-;1785;-;6247;6247;-;0;-;10848;801;7286;1249,00;1092;-1041;6076;-8
2023-08-13;16;15274;39320;27754;-;1785;-;6543;6543;-;0;-;9781;726;6292;1028,00;328;-352;5402;-682
2023-08-13;17;15403;37600;27754;-;1785;-;7397;7397;-;0;-;8061;601;4689;32,00;-872;848;5200;-1034
2023-08-13;18;15547;35717;27754;-;1785;-;9361;9361;-;0;-;6178;451;2925;0,00;-667;673;4251;-2460
2023-08-13;19;15702;34117;27754;-;1785;-;10928;10626;-;302;-;4578;344;1375;0,00;-378;574;4289;-3560
2023-08-13;20;16132;33082;27754;-;1785;-;12264;11667;-;597;-;3543;362;218;0,00;-625;950;3640;-4399
2023-08-13;21;16867;32904;27754;-;1748;-;13613;12513;-;1100;-;3402;446;1;0,00;-1079;930;3092;-5127
2023-08-13;22;16911;32912;27754;-;1695;-;13598;12658;-;940;-;3463;519;0;0,00;-1172;1023;2947;-5272
2023-08-13;23;16168;32831;27754;-;1695;-;12308;11907;-;401;-;3382;599;0;0,00;-573;1051;2793;-4883
2023-08-13;24;15274;32897;27754;-;1703;-;10538;10538;-;0;-;3440;679;0;0,00;375;921;3782;-3714
2023-08-14;1;13618;32829;27754;-;1255;-;9313;9313;-;0;-;3820;1179;0;0,00;-565;1049;4095;-3029
2023-08-14;2;13029;32957;27754;-;1263;-;9021;9021;-;0;-;3940;1285;0;32,00;-950;1049;4101;-2833
2023-08-14;3;12794;33092;27754;-;1271;-;8660;8660;-;0;-;4067;1412;0;32,00;-950;1049;4633;-2301
2023-08-14;4;12690;33148;27754;-;1278;-;8508;8508;-;0;-;4116;1465;0;32,00;-950;1049;4164;-2431
2023-08-14;5;12691;33140;27754;-;1286;-;8524;8524;-;0;-;4100;1458;0;32,00;-950;1049;4344;-2440
2023-08-14;6;12992;33146;27754;-;1294;-;8795;8795;-;0;-;4098;1420;21;0,00;-689;788;4073;-2711
2023-08-14;7;14626;33506;27754;-;1247;-;9715;9553;-;162;-;4505;1361;462;0,00;-464;870;3315;-3469
2023-08-14;8;16123;34791;27754;-;1027;-;10370;10144;-;226;-;6010;1149;2048;0,00;-760;503;2724;-4060
2023-08-14;9;17554;36221;27754;-;1035;-;10227;10188;-;39;-;7432;741;3875;0,00;-199;95;2680;-4104
2023-08-14;10;18318;38076;27754;-;1209;-;9532;9532;-;0;-;9113;477;5864;190,00;119;-256;3336;-3448
2023-08-14;11;18310;39610;27754;-;1305;-;8120;8120;-;0;-;10551;464;7330;443,00;534;-452;4358;-2236
2023-08-14;12;17838;40921;27754;-;1596;-;7167;7167;-;0;-;11571;509;8317;987,00;269;-182;5319;-1275
2023-08-14;13;17530;41583;27754;-;1775;-;6771;6771;-;0;-;12054;557;8710;1395,00;106;-6;5780;-814
2023-08-14;14;17524;41256;27754;-;1785;-;7103;7103;-;0;-;11717;582;8350;1395,00;10;89;5663;-931
2023-08-14;15;17492;40427;27754;-;1785;-;7627;7627;-;0;-;10888;577;7527;1122,00;96;4;5658;-1246
2023-08-14;16;17675;39248;27754;-;1785;-;8584;8584;-;0;-;9709;548;6374;669,00;-290;341;5049;-1855
2023-08-14;17;17772;37643;27754;-;1785;-;9894;9894;-;0;-;8104;505;4796;178,00;-330;281;4209;-2885
2023-08-14;18;17846;35869;27754;-;1785;-;11371;11371;-;0;-;6330;463;3003;0,00;-555;701;3101;-4184
2023-08-14;19;17962;34337;27754;-;1785;-;12881;12072;-;809;-;4798;462;1377;0,00;104;179;3070;-4809
2023-08-14;20;18147;33299;27754;-;1785;-;14519;13097;-;1422;-;3760;593;196;0,00;-243;111;2173;-5706
2023-08-14;21;18741;33236;27754;-;1642;-;14935;13450;-;1485;-;3840;868;1;0,00;-684;652;2084;-5975
2023-08-14;22;18368;33292;27754;-;1424;-;13613;12798;-;815;-;4114;1169;0;0,00;-171;812;2285;-5594
2023-08-14;23;16968;33406;27754;-;1432;-;12310;12310;-;0;-;4220;1424;0;0,00;-597;1036;2773;-5106
2023-08-14;24;15622;33559;27754;-;1440;-;10624;10624;-;0;-;4365;1622;0;0,00;-416;1050;3014;-4140
